Year,Month,Day,Time,Open,High,Low,Close,Volume
2019,5,22,12:55:00,11705.45,11711.65,11696.2,11711.65,0
2019,5,22,13:00:00,11711.2,11720.6,11710.65,11716.8,0
2019,5,22,13:05:00,11716.5,11728.55,11712.05,11728.25,0
2019,5,22,13:10:00,11727.85,11728.3,11718.65,11719.4,0
2019,5,22,13:15:00,11718.6,11736.4,11718.3,11726.7,0
2019,5,22,13:20:00,11727.1,11734.6,11725.9,11728.2,0
2019,5,22,13:25:00,11728,11738.25,11723.65,11738.25,0
2019,5,22,13:30:00,11738.25,11747.6,11733.8,11734.55,0
2019,5,22,13:35:00,11734.75,11738.15,11725.7,11732,0
2019,5,22,13:40:00,11732.15,11734.8,11725.55,11734.35,0
2019,5,22,13:45:00,11734.65,11745.5,11734.35,11745.3,0
2019,5,22,13:50:00,11745.8,11766.15,11745.8,11760.15,0
2019,5,22,13:55:00,11761.15,11769.55,11758.05,11764.05,0
2019,5,22,14:00:00,11763.55,11782.3,11763.05,11773.85,0
2019,5,22,14:05:00,11774.25,11784.55,11766.65,11779.3,0
2019,5,22,14:10:00,11778.75,11784.15,11762.75,11769.8,0
2019,5,22,14:15:00,11769.65,11772.75,11730.85,11750.1,0
2019,5,22,14:20:00,11749.05,11750.4,11735.65,11749.75,0
2019,5,22,14:25:00,11749.1,11749.2,11731.15,11736.65,0
2019,5,22,14:30:00,11737.95,11747,11734.7,11737.55,0
2019,5,22,14:35:00,11739.05,11739.05,11708.3,11722.85,0
2019,5,22,14:40:00,11723.25,11730.7,11711.1,11720.2,0
2019,5,22,14:45:00,11720.25,11742.6,11711.8,11739.5,0
2019,5,22,14:50:00,11738.85,11744.95,11720.45,11720.45,0
2019,5,22,14:55:00,11719.85,11736.95,11719.7,11736.8,0
2019,5,22,15:00:00,11737.5,11743.55,11725.75,11733.7,0
2019,5,22,15:05:00,11733.85,11737.65,11728.85,11735,0
2019,5,22,15:10:00,11735.7,11740.8,11730.05,11737.5,0
2019,5,22,15:15:00,11738.35,11738.95,11727.3,11731.65,0
2019,5,22,15:20:00,11732.3,11744.7,11730.25,11743.45,0
2019,5,22,15:25:00,11744.3,11759.2,11744.2,11755,0
2019,5,23,09:15:00,11901.3,11914.25,11837.35,11914.25,0
2019,5,23,09:20:00,11914.3,11947.35,11904.65,11945.35,0
2019,5,23,09:25:00,11944.6,11968.1,11943.15,11946.65,0
2019,5,23,09:30:00,11944.55,11946.25,11903.6,11914.6,0
2019,5,23,09:35:00,11914.55,11928.1,11904.9,11905.7,0
2019,5,23,09:40:00,11905.9,11915.05,11882.45,11913.2,0
2019,5,23,09:45:00,11913.8,11933.45,11906.5,11932.75,0
2019,5,23,09:50:00,11933.35,11955.35,11930.3,11955.05,0
2019,5,23,09:55:00,11954.85,11957.2,11932.3,11935.35,0
2019,5,23,10:00:00,11935.5,11949.35,11934.35,11947.05,0
2019,5,23,10:05:00,11946.55,11954.8,11941.8,11951.8,0
2019,5,23,10:10:00,11951.15,11959.3,11944.85,11954.05,0
2019,5,23,10:15:00,11953.2,11976.85,11952.75,11976.45,0
2019,5,23,10:20:00,11976.2,11982.7,11967.6,11981.05,0
2019,5,23,10:25:00,11981.75,11994.25,11979.3,11992.9,0
2019,5,23,10:30:00,11994,12003.15,11990.85,11994.1,0
2019,5,23,10:35:00,11994.9,12011.75,11994.9,12007.65,0
2019,5,23,10:40:00,12007.8,12034.75,12007.8,12034.75,0
2019,5,23,10:45:00,12034.75,12041,12000.55,12003.7,0
2019,5,23,10:50:00,12002.85,12003.15,11964.1,11970.55,0
2019,5,23,10:55:00,11969.85,11980.65,11956.85,11956.85,0
2019,5,23,11:00:00,11956.1,11961.7,11920.25,11937.55,0
2019,5,23,11:05:00,11939.25,11956.25,11926.6,11929.4,0
2019,5,23,11:10:00,11929.7,11930.9,11895.6,11909.35,0
2019,5,23,11:15:00,11907.45,11918.75,11895.2,11896.55,0
2019,5,23,11:20:00,11896.2,11897.5,11841,11882,0
2019,5,23,11:25:00,11881.6,11897.95,11863.75,11895.8,0
2019,5,23,11:30:00,11895.55,11899.4,11869.1,11873.8,0
2019,5,23,11:35:00,11873.9,11889.35,11870.4,11887.9,0
2019,5,23,11:40:00,11887.9,11890.9,11868.25,11871.25,0
2019,5,23,11:45:00,11869.85,11884.2,11859.75,11860.25,0
2019,5,23,11:50:00,11858,11858.65,11826.85,11842.95,0
2019,5,23,11:55:00,11842.2,11872.4,11829.25,11863.05,0
2019,5,23,12:00:00,11862.6,11862.6,11839.55,11851.95,0
2019,5,23,12:05:00,11852.6,11869.35,11841.9,11844.6,0
2019,5,23,12:10:00,11844.1,11852.55,11819.95,11832.3,0
2019,5,23,12:15:00,11831.6,11839.25,11821.25,11837.85,0
2019,5,23,12:20:00,11837.3,11848.35,11824.5,11828,0
2019,5,23,12:25:00,11828.15,11833.85,11790.8,11793.65,0
2019,5,23,12:30:00,11793.05,11805.35,11788.45,11796.75,0
2019,5,23,12:35:00,11796.35,11801.85,11779.15,11800.85,0
2019,5,23,12:40:00,11800.15,11809.75,11789,11801.15,0
2019,5,23,12:45:00,11801.3,11835.35,11801.3,11829.25,0
2019,5,23,12:50:00,11829.35,11843.8,11820.15,11842.2,0
2019,5,23,12:55:00,11840.4,11840.4,11806.4,11821.85,0
2019,5,23,13:00:00,11823.6,11824.4,11809.55,11822.5,0
2019,5,23,13:05:00,11821.8,11852.55,11821.8,11852.55,0
2019,5,23,13:10:00,11851.4,11852.15,11836.4,11848.25,0
2019,5,23,13:15:00,11846.65,11859.8,11846.55,11855.85,0
2019,5,23,13:20:00,11854.7,11858.65,11846.15,11852.05,0
2019,5,23,13:25:00,11852.9,11855.8,11843.25,11846.2,0
2019,5,23,13:30:00,11845.9,11847.4,11829.05,11834.3,0
2019,5,23,13:35:00,11834.05,11845.3,11821.4,11825.1,0
2019,5,23,13:40:00,11824.35,11828,11814.6,11822.75,0
2019,5,23,13:45:00,11822.15,11822.15,11810.85,11811,0
2019,5,23,13:50:00,11806.2,11808.15,11759.4,11769.85,0
2019,5,23,13:55:00,11769.6,11787.2,11763.6,11781.55,0
2019,5,23,14:00:00,11780.5,11780.8,11732.85,11744.15,0
2019,5,23,14:05:00,11743.85,11767.45,11742.7,11765.85,0
2019,5,23,14:10:00,11765.65,11792.7,11751.3,11787.8,0
2019,5,23,14:15:00,11786.65,11806.7,11782.75,11795.05,0
2019,5,23,14:20:00,11795.45,11795.45,11778.4,11779.65,0
2019,5,23,14:25:00,11780.35,11797.1,11774.25,11792.2,0
2019,5,23,14:30:00,11792.25,11792.25,11761.2,11761.2,0
2019,5,23,14:35:00,11754,11765.05,11743.6,11759.1,0
2019,5,23,14:40:00,11758.7,11775.75,11757.25,11765.25,0
2019,5,23,14:45:00,11765.8,11769.5,11736.85,11739.3,0
2019,5,23,14:50:00,11739.15,11739.4,11718.75,11718.75,0
2019,5,23,14:55:00,11717.5,11718.45,11674.2,11675.3,0
2019,5,23,15:00:00,11674.7,11688.85,11651.65,11687.55,0
2019,5,23,15:05:00,11686.55,11693.05,11654.3,11654.3,0
2019,5,23,15:10:00,11654.8,11664.8,11635.4,11638.1,0
2019,5,23,15:15:00,11637.85,11654.35,11615,11653.5,0
2019,5,23,15:20:00,11652.85,11674.9,11651.85,11674.9,0
2019,5,23,15:25:00,11674.75,11688.55,11673.9,11682.5,0
2019,5,24,09:15:00,11748,11775.25,11728.3,11745.15,0
2019,5,24,09:20:00,11746.2,11748.85,11723.35,11730.4,0
2019,5,24,09:25:00,11729.45,11733.75,11716.35,11726.85,0
2019,5,24,09:30:00,11726.65,11726.65,11694.15,11701.15,0
2019,5,24,09:35:00,11701.75,11708.6,11679.45,11681.65,0
2019,5,24,09:40:00,11681.3,11703.05,11679.55,11690.6,0
2019,5,24,09:45:00,11692.15,11707.5,11682.5,11707.5,0
2019,5,24,09:50:00,11707.25,11713.05,11702.8,11706.15,0
2019,5,24,09:55:00,11706.05,11712.55,11702.55,11703.9,0
2019,5,24,10:00:00,11704.6,11711.8,11681.9,11683.1,0
2019,5,24,10:05:00,11682.8,11690.1,11668.7,11671.8,0
2019,5,24,10:10:00,11672.35,11673,11658.4,11671.15,0
2019,5,24,10:15:00,11670.85,11681.95,11670.85,11675.7,0
2019,5,24,10:20:00,11675.2,11687.6,11675.05,11681.3,0
2019,5,24,10:25:00,11681.35,11687.7,11676.25,11686.4,0
2019,5,24,10:30:00,11685.9,11686.35,11675.2,11676.65,0
2019,5,24,10:35:00,11676.45,11692.05,11676.35,11689.95,0
2019,5,24,10:40:00,11690,11694,11686.7,11688.8,0
2019,5,24,10:45:00,11689.05,11692,11685.05,11688.55,0
2019,5,24,10:50:00,11688.8,11701.25,11685.1,11697.4,0
2019,5,24,10:55:00,11696.9,11699.9,11691.95,11695.35,0
2019,5,24,11:00:00,11696.05,11707.3,11695.4,11703.4,0
2019,5,24,11:05:00,11703.45,11725,11703.45,11724.2,0
2019,5,24,11:10:00,11724.4,11729.35,11715.05,11716.65,0
2019,5,24,11:15:00,11716.7,11719.05,11712.65,11716.45,0
2019,5,24,11:20:00,11715.9,11721.35,11712.5,11714.4,0
2019,5,24,11:25:00,11715.2,11716.7,11701.95,11710.35,0
2019,5,24,11:30:00,11710.4,11718.5,11708.7,11717.25,0
2019,5,24,11:35:00,11717.5,11718.3,11712.4,11717.25,0
